#x_m        ; y_m         ; vx_mps      ; psi_rad     ; kappa_radpm
-32.0134577 ; -8.7277133  ; 8.0000000   ; 3.0542958   ; -0.1150466
-32.2124583 ; -8.7079607  ; 8.0000000   ; 3.0308852   ; -0.1190934
-32.4108939 ; -8.6834796  ; 8.0000000   ; 3.0066621   ; -0.1232163
-32.6086877 ; -8.6541140  ; 8.0000000   ; 2.9816039   ; -0.1274302
-32.8056656 ; -8.6197185  ; 8.0000000   ; 2.9556913   ; -0.1317578
-33.0016435 ; -8.5801511  ; 8.0000000   ; 2.9289081   ; -0.1361847
-33.1965145 ; -8.5352512  ; 8.0000000   ; 2.9012102   ; -0.1408404
-33.3900054 ; -8.4848914  ; 8.0000000   ; 2.8725743   ; -0.1456162
-33.5819657 ; -8.4289187  ; 8.0000000   ; 2.8430647   ; -0.1490357
-33.7721723 ; -8.3672515  ; 8.0000000   ; 2.8129917   ; -0.1517739
-33.9604004 ; -8.2998481  ; 8.0000000   ; 2.7823784   ; -0.1535787
-34.1464911 ; -8.2267195  ; 8.0000000   ; 2.7520722   ; -0.1495696
-34.3303225 ; -8.1480539  ; 8.0000000   ; 2.7225572   ; -0.1456535
-34.5117681 ; -8.0640782  ; 8.0000000   ; 2.6938599   ; -0.1411925
-34.6907816 ; -7.9750089  ; 8.0000000   ; 2.6661015   ; -0.1364693
-34.8673184 ; -7.8810771  ; 8.0000000   ; 2.6392743   ; -0.1318691
-35.0412763 ; -7.7825460  ; 8.0000000   ; 2.6133524   ; -0.1274524
-35.2127104 ; -7.6795878  ; 8.0000000   ; 2.5882998   ; -0.1231136
-35.3815280 ; -7.5724596  ; 8.0000000   ; 2.5641106   ; -0.1188530
-35.5477614 ; -7.4613438  ; 8.0000000   ; 2.5407668   ; -0.1146479
-35.7114288 ; -7.3464286  ; 8.0000000   ; 2.5182532   ; -0.1105171
-35.8724724 ; -7.2279576  ; 8.0000000   ; 2.4965660   ; -0.1064387
-36.0309994 ; -7.1060543  ; 8.0000000   ; 2.4756836   ; -0.1024154
-36.1869712 ; -6.9809506  ; 8.0000000   ; 2.4556047   ; -0.0984223
-36.3404573 ; -6.8527964  ; 8.0000000   ; 2.4363218   ; -0.0944562
-36.4915146 ; -6.7217493  ; 8.0000000   ; 2.4178247   ; -0.0905349
-36.6401432 ; -6.5880178  ; 8.0000000   ; 2.4001146   ; -0.0866255
-36.7864599 ; -6.4517070  ; 8.0000000   ; 2.3831797   ; -0.0827512
-36.9304864 ; -6.3130076  ; 8.0000000   ; 2.3670184   ; -0.0788969
-37.0723096 ; -6.1720510  ; 8.0000000   ; 2.3516265   ; -0.0750587
-37.2120113 ; -6.0289710  ; 8.0000000   ; 2.3369982   ; -0.0712453
-37.3496462 ; -5.8839307  ; 8.0000000   ; 2.3231342   ; -0.0674304
-37.4853225 ; -5.7370374  ; 8.0000000   ; 2.3100303   ; -0.0636346
-37.6191161 ; -5.5884326  ; 8.0000000   ; 2.2976847   ; -0.0598421
-37.7511209 ; -5.4382385  ; 8.0000000   ; 2.2860977   ; -0.0560533
-37.8814352 ; -5.2865729  ; 8.0000000   ; 2.2752671   ; -0.0522674
-38.0101588 ; -5.1335521  ; 8.0000000   ; 2.2651982   ; -0.0484402
-38.1373896 ; -4.9792971  ; 8.0000000   ; 2.2558944   ; -0.0446199
-38.2632462 ; -4.8239048  ; 8.0000000   ; 2.2473589   ; -0.0407220
-38.3878299 ; -4.6674970  ; 8.0000000   ; 2.2396095   ; -0.0367881
-38.5112527 ; -4.5101859  ; 8.0000000   ; 2.2326447   ; -0.0329658
-38.6336475 ; -4.3520460  ; 8.0000000   ; 2.2263854   ; -0.0296353
-38.7550890 ; -4.1932018  ; 8.0000000   ; 2.2207930   ; -0.0263021
-38.8756991 ; -4.0337139  ; 8.0000000   ; 2.2158671   ; -0.0229675
-38.9955754 ; -3.8736737  ; 8.0000000   ; 2.2116083   ; -0.0196288
-39.1148198 ; -3.7131680  ; 8.0000000   ; 2.2080096   ; -0.0167279
-39.2335226 ; -3.5522545  ; 8.0000000   ; 2.2047526   ; -0.0158485
-39.3517151 ; -3.3909652  ; 8.0000000   ; 2.2016715   ; -0.0149690
-39.4694231 ; -3.2293221  ; 8.0000000   ; 2.1987319   ; -0.0145939
-39.5866587 ; -3.0673361  ; 8.0000000   ; 2.1958275   ; -0.0144566
-39.7034256 ; -2.9050117  ; 8.0000000   ; 2.1929505   ; -0.0143194
-39.8197272 ; -2.7423538  ; 8.0000000   ; 2.1901009   ; -0.0141818
-39.9355670 ; -2.5793668  ; 8.0000000   ; 2.1872789   ; -0.0140442
-40.0509486 ; -2.4160553  ; 8.0000000   ; 2.1844844   ; -0.0139070
-40.1658756 ; -2.2524234  ; 8.0000000   ; 2.1817172   ; -0.0137701
-40.2803518 ; -2.0884755  ; 8.0000000   ; 2.1789775   ; -0.0136333
-40.3943804 ; -1.9242165  ; 8.0000000   ; 2.1762650   ; -0.0134969
