#x_m        ; y_m         ; vx_mps      ; psi_rad
-33.7721723 ; -8.3672515  ; 8.0000000   ; 2.8129917
-33.9604004 ; -8.2998481  ; 8.0000000   ; 2.7823784
-34.1464911 ; -8.2267195  ; 8.0000000   ; 2.7520722
-34.3303225 ; -8.1480539  ; 8.0000000   ; 2.7225572
-34.5117681 ; -8.0640782  ; 8.0000000   ; 2.6938599
-34.6907816 ; -7.9750089  ; 8.0000000   ; 2.6661015
-34.8673184 ; -7.8810771  ; 8.0000000   ; 2.6392743
-35.0412763 ; -7.7825460  ; 8.0000000   ; 2.6133524
-35.2127104 ; -7.6795878  ; 8.0000000   ; 2.5882998
-35.3815280 ; -7.5724596  ; 8.0000000   ; 2.5641106
-35.5477614 ; -7.4613438  ; 8.0000000   ; 2.5407668
-35.7114288 ; -7.3464286  ; 8.0000000   ; 2.5182532
-35.8724724 ; -7.2279576  ; 8.0000000   ; 2.4965660
-36.0309994 ; -7.1060543  ; 8.0000000   ; 2.4756836
-36.1869712 ; -6.9809506  ; 8.0000000   ; 2.4556047
-36.3404573 ; -6.8527964  ; 8.0000000   ; 2.4363218
-36.4915146 ; -6.7217493  ; 8.0000000   ; 2.4178247
-36.6401432 ; -6.5880178  ; 8.0000000   ; 2.4001146
-36.7864599 ; -6.4517070  ; 8.0000000   ; 2.3831797
-36.9304864 ; -6.3130076  ; 8.0000000   ; 2.3670184
-37.0723096 ; -6.1720510  ; 8.0000000   ; 2.3516265
-37.2120113 ; -6.0289710  ; 8.0000000   ; 2.3369982
-37.3496462 ; -5.8839307  ; 8.0000000   ; 2.3231342
-37.4853225 ; -5.7370374  ; 8.0000000   ; 2.3100303
-37.6191161 ; -5.5884326  ; 8.0000000   ; 2.2976847
-37.7511209 ; -5.4382385  ; 8.0000000   ; 2.2860977
-37.8814352 ; -5.2865729  ; 8.0000000   ; 2.2752671
-38.0101588 ; -5.1335521  ; 8.0000000   ; 2.2651982
-38.1373896 ; -4.9792971  ; 8.0000000   ; 2.2558944
-38.2632462 ; -4.8239048  ; 8.0000000   ; 2.2473589
-38.3878299 ; -4.6674970  ; 8.0000000   ; 2.2396095
-38.5112527 ; -4.5101859  ; 8.0000000   ; 2.2326447
-38.6336475 ; -4.3520460  ; 8.0000000   ; 2.2263854
-38.7550890 ; -4.1932018  ; 8.0000000   ; 2.2207930
-38.8756991 ; -4.0337139  ; 8.0000000   ; 2.2158671
-38.9955754 ; -3.8736737  ; 8.0000000   ; 2.2116083
-39.1148198 ; -3.7131680  ; 8.0000000   ; 2.2080096
-39.2335226 ; -3.5522545  ; 8.0000000   ; 2.2047526
-39.3517151 ; -3.3909652  ; 8.0000000   ; 2.2016715
-39.4694231 ; -3.2293221  ; 8.0000000   ; 2.1987319
-39.5866587 ; -3.0673361  ; 8.0000000   ; 2.1958275
-39.7034256 ; -2.9050117  ; 8.0000000   ; 2.1929505
-39.8197272 ; -2.7423538  ; 8.0000000   ; 2.1901009
-39.9355670 ; -2.5793668  ; 8.0000000   ; 2.1872789
-40.0509486 ; -2.4160553  ; 8.0000000   ; 2.1844844
-40.1658756 ; -2.2524234  ; 8.0000000   ; 2.1817172
-40.2803518 ; -2.0884755  ; 8.0000000   ; 2.1789775
-40.3943804 ; -1.9242165  ; 8.0000000   ; 2.1762650
-40.5079655 ; -1.7596500  ; 8.0000000   ; 2.1735798
-40.6211104 ; -1.5947809  ; 8.0000000   ; 2.1709219
-40.7338189 ; -1.4296131  ; 8.0000000   ; 2.1682911
-40.8460950 ; -1.2641506  ; 8.0000000   ; 2.1656875
-40.9579418 ; -1.0983985  ; 8.0000000   ; 2.1631110
-41.0693638 ; -0.9323596  ; 8.0000000   ; 2.1605616
-41.1803640 ; -0.7660391  ; 8.0000000   ; 2.1580392
-41.2909468 ; -0.5994406  ; 8.0000000   ; 2.1555438
-41.4011159 ; -0.4325677  ; 8.0000000   ; 2.1530753
-41.5108746 ; -0.2654256  ; 8.0000000   ; 2.1506338
-41.6202276 ; -0.0980168  ; 8.0000000   ; 2.1482191
-41.7291779 ; 0.0696537   ; 8.0000000   ; 2.1458313
-41.8377299 ; 0.2375825   ; 8.0000000   ; 2.1434703
-41.9458877 ; 0.4057660   ; 8.0000000   ; 2.1411361
-42.0536543 ; 0.5741994   ; 8.0000000   ; 2.1388286
-42.1610348 ; 0.7428803   ; 8.0000000   ; 2.1365478
-42.2680321 ; 0.9118037   ; 8.0000000   ; 2.1342937
-42.3746507 ; 1.0809667   ; 8.0000000   ; 2.1320662
-42.4808948 ; 1.2503657   ; 8.0000000   ; 2.1298653
-42.5867676 ; 1.4199959   ; 8.0000000   ; 2.1276911
-42.6922740 ; 1.5898552   ; 8.0000000   ; 2.1255433
-42.7974173 ; 1.7599389   ; 8.0000000   ; 2.1234221
-42.9022019 ; 1.9302439   ; 8.0000000   ; 2.1213274
-43.0066321 ; 2.1007671   ; 8.0000000   ; 2.1192591
-43.1107111 ; 2.2715039   ; 8.0000000   ; 2.1172172
-43.2144440 ; 2.4424521   ; 8.0000000   ; 2.1152018
-43.3178341 ; 2.6136072   ; 8.0000000   ; 2.1132127
-43.4208859 ; 2.7849663   ; 8.0000000   ; 2.1112499
-43.5236037 ; 2.9565264   ; 8.0000000   ; 2.1093135
-43.6259909 ; 3.1282832   ; 8.0000000   ; 2.1074034
-43.7280524 ; 3.3002343   ; 8.0000000   ; 2.1055195
-43.8297919 ; 3.4723758   ; 8.0000000   ; 2.1036619
-43.9312138 ; 3.6447047   ; 8.0000000   ; 2.1018305
-44.0323222 ; 3.8172180   ; 8.0000000   ; 2.1000253
-44.1331211 ; 3.9899119   ; 8.0000000   ; 2.0982462
-44.2336151 ; 4.1627838   ; 8.0000000   ; 2.0964933
-44.3338080 ; 4.3358301   ; 8.0000000   ; 2.0947665
-44.4337043 ; 4.5090478   ; 8.0000000   ; 2.0930658
-44.5333081 ; 4.6824341   ; 8.0000000   ; 2.0913912
-44.6326236 ; 4.8559854   ; 8.0000000   ; 2.0897426
-44.7316552 ; 5.0296991   ; 8.0000000   ; 2.0881200
